dataset,method,backbone,n_layers,metric,full,degrade_text,degrade_visual,full_pm,degrade_text_pm,degrade_visual_pm,overall_hmean_pm,single_modality,inductive,fewshots,text_feature,visual_feature,lr,wd,dropout,n_hidden,embed_dim,aux_weight,mlp_variant,modality_encoder,enc_n_layers,enc_hidden_dim,full_std,nts_sign_k,nts_sign_alpha,nts_num_tf_layers,nts_num_heads,k_t,k_v,num_samples,tur_weight,mgdcf_alpha,mgdcf_beta
Grocery,MIG_GT,GCN,1,accuracy,80.035,60.626,65.544,80.04 ± 0.36,,,,none,False,,Grocery_roberta_base_256_mean.npy,Grocery_openai_clip-vit-large-patch14.npy,0.005,0.0001,0.3,256,256,,,,,,0.359,,,,,3,2,10,1.0,0.1,0.9
Grocery,MIG_GT,GCN,1,accuracy,79.947,60.285,65.964,79.95 ± 0.69,,,,none,False,,Grocery_roberta_base_256_mean.npy,Grocery_openai_clip-vit-large-patch14.npy,0.005,0.0001,0.3,256,256,,,,,,0.689,,,,,2,3,10,1.0,0.1,0.9
Grocery,MIG_GT,GCN,1,accuracy,78.893,60.207,65.291,78.89 ± 0.54,,,,none,False,,Grocery_roberta_base_256_mean.npy,Grocery_openai_clip-vit-large-patch14.npy,0.001,0.0001,0.3,256,256,,,,,,0.541,,,,,3,2,10,1.0,0.1,0.9
Grocery,MIG_GT,GCN,1,accuracy,78.581,61.017,64.52,78.58 ± 0.54,,,,none,False,,Grocery_roberta_base_256_mean.npy,Grocery_openai_clip-vit-large-patch14.npy,0.001,0.0001,0.3,256,256,,,,,,0.542,,,,,2,3,10,1.0,0.1,0.9
Grocery,MIG_GT,GCN,1,accuracy,75.79,59.768,59.729,75.79 ± 0.57,,,,none,False,,Grocery_roberta_base_256_mean.npy,Grocery_openai_clip-vit-large-patch14.npy,0.0005,0.0001,0.3,256,256,,,,,,0.565,,,,,3,2,10,1.0,0.1,0.9
Grocery,MIG_GT,GCN,1,accuracy,76.503,60.665,60.773,76.50 ± 0.50,,,,none,False,,Grocery_roberta_base_256_mean.npy,Grocery_openai_clip-vit-large-patch14.npy,0.0005,0.0001,0.3,256,256,,,,,,0.502,,,,,2,3,10,1.0,0.1,0.9
Toys,NTSFormer,GCN,1,accuracy,79.198,68.648,48.707,79.20 ± 0.36,,,,none,False,,Toys_roberta_base_512_mean.npy,Toys_openai_clip-vit-large-patch14.npy,0.005,0.0001,0.3,256,256,,,,,,0.357,2,0.0,2,2,,,,,,
Toys,NTSFormer,GCN,1,accuracy,78.223,71.169,54.53,78.22 ± 0.35,,,,none,False,,Toys_roberta_base_512_mean.npy,Toys_openai_clip-vit-large-patch14.npy,0.005,0.0001,0.3,256,256,,,,,,0.354,2,0.0,3,2,,,,,,
Toys,NTSFormer,GCN,1,accuracy,79.737,66.892,62.801,79.74 ± 0.29,,,,none,False,,Toys_roberta_base_512_mean.npy,Toys_openai_clip-vit-large-patch14.npy,0.001,0.0001,0.3,256,256,,,,,,0.285,2,0.0,2,2,,,,,,
Toys,NTSFormer,GCN,1,accuracy,79.343,69.139,57.985,79.34 ± 0.24,,,,none,False,,Toys_roberta_base_512_mean.npy,Toys_openai_clip-vit-large-patch14.npy,0.001,0.0001,0.3,256,256,,,,,,0.24,2,0.0,3,2,,,,,,
Toys,NTSFormer,GCN,1,accuracy,79.907,66.208,64.951,79.91 ± 0.20,,,,none,False,,Toys_roberta_base_512_mean.npy,Toys_openai_clip-vit-large-patch14.npy,0.0005,0.0001,0.3,256,256,,,,,,0.199,2,0.0,2,2,,,,,,
Toys,NTSFormer,GCN,1,accuracy,79.359,70.138,60.312,79.36 ± 0.13,,,,none,False,,Toys_roberta_base_512_mean.npy,Toys_openai_clip-vit-large-patch14.npy,0.0005,0.0001,0.3,256,256,,,,,,0.128,2,0.0,3,2,,,,,,
Toys,MIG_GT,GCN,1,accuracy,75.566,62.543,58.992,75.57 ± 1.22,,,,none,False,,Toys_roberta_base_512_mean.npy,Toys_openai_clip-vit-large-patch14.npy,0.005,0.0001,0.3,256,256,,,,,,1.215,,,,,3,2,10,1.0,0.1,0.9
Toys,MIG_GT,GCN,1,accuracy,76.315,62.495,60.892,76.31 ± 0.75,,,,none,False,,Toys_roberta_base_512_mean.npy,Toys_openai_clip-vit-large-patch14.npy,0.005,0.0001,0.3,256,256,,,,,,0.746,,,,,2,3,10,1.0,0.1,0.9
Toys,MIG_GT,GCN,1,accuracy,75.187,62.89,60.675,75.19 ± 0.92,,,,none,False,,Toys_roberta_base_512_mean.npy,Toys_openai_clip-vit-large-patch14.npy,0.001,0.0001,0.3,256,256,,,,,,0.917,,,,,3,2,10,1.0,0.1,0.9
Toys,MIG_GT,GCN,1,accuracy,74.881,61.859,59.934,74.88 ± 0.61,,,,none,False,,Toys_roberta_base_512_mean.npy,Toys_openai_clip-vit-large-patch14.npy,0.001,0.0001,0.3,256,256,,,,,,0.611,,,,,2,3,10,1.0,0.1,0.9
Toys,MIG_GT,GCN,1,accuracy,73.238,62.068,57.856,73.24 ± 0.40,,,,none,False,,Toys_roberta_base_512_mean.npy,Toys_openai_clip-vit-large-patch14.npy,0.0005,0.0001,0.3,256,256,,,,,,0.401,,,,,3,2,10,1.0,0.1,0.9
Toys,MIG_GT,GCN,1,accuracy,72.731,61.287,57.413,72.73 ± 0.49,,,,none,False,,Toys_roberta_base_512_mean.npy,Toys_openai_clip-vit-large-patch14.npy,0.0005,0.0001,0.3,256,256,,,,,,0.493,,,,,2,3,10,1.0,0.1,0.9
